2019-11-20 08:21:47,091 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 08:48:08,454 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 08:53:29,620 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=b54f63e58da12198344316a61a93add0, lastModifiedOld=1574211202188, lastModifiedNew=1574211209506

2019-11-20 09:19:05,879 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 09:19:05,879 INFO [dump-all-ok] example+DEFAULT_GROUP, 1574211401656, length=18, md5=25a822367cd73c79acc56da3c73fa07e

2019-11-20 09:20:35,194 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=25a822367cd73c79acc56da3c73fa07e, lastModifiedOld=1574212817448, lastModifiedNew=1574212835099

2019-11-20 09:20:45,231 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=25a822367cd73c79acc56da3c73fa07e, lastModifiedOld=1574212817448, lastModifiedNew=1574212845145

2019-11-20 09:20:54,366 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=25a822367cd73c79acc56da3c73fa07e, lastModifiedOld=1574212817448, lastModifiedNew=1574212854330

2019-11-20 09:21:31,187 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=25a822367cd73c79acc56da3c73fa07e, lastModifiedOld=1574212817448, lastModifiedNew=1574212891115

2019-11-20 09:22:13,235 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=25a822367cd73c79acc56da3c73fa07e, lastModifiedOld=1574212817448, lastModifiedNew=1574212933125

2019-11-20 09:23:14,457 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=25a822367cd73c79acc56da3c73fa07e, lastModifiedOld=1574212817448, lastModifiedNew=1574212994410

2019-11-20 09:23:55,714 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=25a822367cd73c79acc56da3c73fa07e, lastModifiedOld=1574212817448, lastModifiedNew=1574213035665

2019-11-20 09:24:27,426 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=25a822367cd73c79acc56da3c73fa07e, lastModifiedOld=1574212817448, lastModifiedNew=1574213067330

2019-11-20 09:28:16,367 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=25a822367cd73c79acc56da3c73fa07e, lastModifiedOld=1574213292704, lastModifiedNew=1574213296343

2019-11-20 09:34:39,014 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 09:34:39,014 INFO [dump-all-ok] example+DEFAULT_GROUP, 1574213633596, length=18, md5=25a822367cd73c79acc56da3c73fa07e

2019-11-20 09:35:48,040 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 09:35:48,040 INFO [dump-all-ok] example+DEFAULT_GROUP, 1574213633596, length=18, md5=25a822367cd73c79acc56da3c73fa07e

2019-11-20 09:38:35,706 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 09:38:35,707 INFO [dump-all-ok] example+DEFAULT_GROUP, 1574213803971, length=18, md5=25a822367cd73c79acc56da3c73fa07e

2019-11-20 09:41:08,357 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 09:41:08,357 INFO [dump-all-ok] example+DEFAULT_GROUP, 1574213803971, length=18, md5=25a822367cd73c79acc56da3c73fa07e

2019-11-20 09:43:11,966 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 09:43:11,966 INFO [dump-all-ok] example+DEFAULT_GROUP, 1574213803971, length=18, md5=25a822367cd73c79acc56da3c73fa07e

2019-11-20 09:47:54,036 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 09:47:54,036 INFO [dump-all-ok] example+DEFAULT_GROUP, 1574213803971, length=18, md5=25a822367cd73c79acc56da3c73fa07e

2019-11-20 09:51:10,526 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 09:51:10,527 INFO [dump-all-ok] example+DEFAULT_GROUP, 1574213803971, length=18, md5=25a822367cd73c79acc56da3c73fa07e

2019-11-20 09:53:51,435 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 09:53:51,435 INFO [dump-all-ok] example+DEFAULT_GROUP, 1574213803971, length=18, md5=25a822367cd73c79acc56da3c73fa07e

2019-11-20 09:55:33,859 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 09:55:33,860 INFO [dump-all-ok] example+DEFAULT_GROUP, 1574213803971, length=18, md5=25a822367cd73c79acc56da3c73fa07e

2019-11-20 09:56:19,187 INFO [dump-all-ok] app-dev.properties+DEFAULT_GROUP, 1574162009812, length=26, md5=c9c3d989018ccf40375332f32765787a

2019-11-20 09:56:19,187 INFO [dump-all-ok] example+DEFAULT_GROUP, 1574213803971, length=18, md5=25a822367cd73c79acc56da3c73fa07e

2019-11-20 10:03:13,259 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=3013d94efaf6cae4258e1ad7b3a09da6, lastModifiedOld=1574215387876, lastModifiedNew=1574215393131

2019-11-20 10:03:25,194 WARN [dump-ignore] ignore to save cache file. groupKey=example+DEFAULT_GROUP, md5=3a31c429a69dbdc97fdd362fa3adad13, lastModifiedOld=1574215398970, lastModifiedNew=1574215405068

